owner,vehicleType,vehicleNo,make,capacity,regDate,chassisNo,engineNo,createdBy
UNKNOWN,UNKNOWN,MH-16.AY-7991,SFC 407 TURBO,2200 KG,,MAT455221G8417016,497SP67GTY624197,System
UNKNOWN,UNKNOWN,MH-42 B-8950,,,,,,System
UNKNOWN,UNKNOWN,MH42 B-7538,,,,,,System
UNKNOWN,UNKNOWN,MH42B8640,,,,,,System
UNKNOWN,UNKNOWN,MH42T0944,,,,,,System
UNKNOWN,UNKNOWN,MH42B8950,,,,,,System
UNKNOWN,UNKNOWN,MH42B8127,,,,,,System
UNKNOWN,UNKNOWN,MH42T0114,,,,,,System
UNKNOWN,UNKNOWN,MH12PQ1378,,,,,,System
UNKNOWN,UNKNOWN,MH12NX2571,,,,,,System
UNKNOWN,UNKNOWN,MH04BG3555,,,,,,System
UNKNOWN,UNKNOWN,MH12QA6207,,,,,,System
UNKNOWN,UNKNOWN,MH42M5824,,,,,,System
UNKNOWN,UNKNOWN,5744,,,,,,System
UNKNOWN,UNKNOWN,MH16CC4112,,1.5,,,,System
UNKNOWN,UNKNOWN,MH12PQ7583,,,,,,System
UNKNOWN,UNKNOWN,MH42M5613,,,,,,System
UNKNOWN,UNKNOWN,296,,,,,,System
UNKNOWN,UNKNOWN,MH45D5596,,,,,,System
UNKNOWN,UNKNOWN,MH42N8805 ,,,,,,System
UNKNOWN,UNKNOWN,MH 42 B 9608,,,,,,System
UNKNOWN,UNKNOWN,MH42M8805,,,,,,System
UNKNOWN,UNKNOWN,MH12GT4023,,,,,,System
UNKNOWN,UNKNOWN,MH-42 B-8950.,,,,,,System
UNKNOWN,UNKNOWN,MH42K7271,,,,,,System
UNKNOWN,UNKNOWN,MH42AY7991,,,,,,System
UNKNOWN,UNKNOWN,MH42B8972,,,,,,System
UNKNOWN,UNKNOWN,MH11AL6467,,,,,,System
UNKNOWN,UNKNOWN,MH.42.AQ.9972,,,,,,System
UNKNOWN,UNKNOWN,MH12NX8572,,,,,,System
UNKNOWN,UNKNOWN,MH13AX3850,,,,,,System
UNKNOWN,UNKNOWN,MH16AY7991,,,,,,System
UNKNOWN,UNKNOWN,MH12HD1959,,,,,,System
UNKNOWN,UNKNOWN,MH11AN6467,,,,,,System
UNKNOWN,UNKNOWN,988/929/990,,,,,,System
UNKNOWN,UNKNOWN,MH.12.HD.1959,,,,,,System
UNKNOWN,UNKNOWN,MH12RN6003,,,,,,System
UNKNOWN,UNKNOWN,MH42AQ4405,,,,,,System
UNKNOWN,UNKNOWN,MH13AY3741,,,,,,System
UNKNOWN,UNKNOWN,MH12GT5386,,,,,,System
UNKNOWN,UNKNOWN,MH20PT7625,,,,,,System
UNKNOWN,UNKNOWN,MH12BG0769,,,,,,System
UNKNOWN,UNKNOWN,MH42B7538,,,,,,System
UNKNOWN,UNKNOWN,MH42AQ1668.,,1,,,,System
UNKNOWN,UNKNOWN,MH12MV0853,,,,,,System
UNKNOWN,UNKNOWN,MH12EG9206,,,,,,System
UNKNOWN,UNKNOWN,MH45AF1361,,,,,,System
UNKNOWN,UNKNOWN,MH.24.AU.4264,,,,,,System
UNKNOWN,UNKNOWN,MH24AU4264,,1.5,,,,System
UNKNOWN,UNKNOWN,MH13CU4257,,,,,,System
UNKNOWN,UNKNOWN,MH12DG0769,,,,,,System
UNKNOWN,UNKNOWN,MH12DG0464,,,,,,System
UNKNOWN,UNKNOWN,MH13AX4089,,,,,,System
UNKNOWN,UNKNOWN,MH42B9776,,,,,,System
UNKNOWN,UNKNOWN,MH11CH0633,,,,,,System
UNKNOWN,UNKNOWN,MH44/9054,,,,,,System
UNKNOWN,UNKNOWN,MH12CT8474,,,,,,System
UNKNOWN,UNKNOWN,MH12PQ5375,,,,,,System
UNKNOWN,UNKNOWN,MH12JF1866,,,,,,System
UNKNOWN,UNKNOWN,MH45-1659,,,,,,System
UNKNOWN,UNKNOWN,MH12GT7333,,,,,,System
UNKNOWN,UNKNOWN,MH42AQ1757,,,,,,System
UNKNOWN,UNKNOWN,MH12QW9563,,,,,,System
UNKNOWN,UNKNOWN,MH16CC7992,,,,,,System
UNKNOWN,UNKNOWN,MH12QG6630,,,,,,System
UNKNOWN,UNKNOWN,7242,,,,,,System
UNKNOWN,UNKNOWN,MH25U1245,,,,,,System
UNKNOWN,UNKNOWN,MH12PQ6500 ,,,,,,System
UNKNOWN,UNKNOWN,MH42WQ8452,,,,,,System
UNKNOWN,UNKNOWN,MH12 AQ 1009,,,,,,System
UNKNOWN,UNKNOWN,MH 12 GT 7681,,,,,,System
UNKNOWN,UNKNOWN,MH45-9891,,,,,,System
UNKNOWN,UNKNOWN,MH 12 EQ 1009,,,,,,System
UNKNOWN,UNKNOWN,MH12EQ1009,,,,,,System
UNKNOWN,UNKNOWN,MH12GT7681,,,,,,System
